[r2] 0/36 units already journalled, 36 remaining, budget 420s
  [27/36] sgate/s128 -> {'frac_det': 0.3872767857142857, 'frac_det_exact': 0.3872767857142857, 'frac_det_naive': 0.73193359375, 'det_sd': 0.09022248532963456, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 0.9477894883036693, 'null_pivot': 0.9695276836235518, 'n_terms_pivot': 5.9375, 'coh_dense': 0.9850059478374663, 'null_dense': 0.9006154219200013, 'n_terms_dense': 94.0} (6s)
  [28/36] sgate/s512 -> {'frac_det': 0.3783482142857143, 'frac_det_exact': 0.3783482142857143, 'frac_det_naive': 0.72802734375, 'det_sd': 0.06367478493569603, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 0.9949082350623522, 'null_pivot': 0.980880770501359, 'n_terms_pivot': 5.875, 'coh_dense': 0.9105681787713011, 'null_dense': 0.8952483486861667, 'n_terms_dense': 382.0} (5s)
  [29/36] sgate/s1024 -> {'frac_det': 0.3727678571428571, 'frac_det_exact': 0.3727678571428571, 'frac_det_naive': 0.7255859375, 'det_sd': 0.07780546900863114, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 0.9412127508470665, 'null_pivot': 0.9678345135352239, 'n_terms_pivot': 6.1875, 'coh_dense': 0.90349994617513, 'null_dense': 0.8548539232334871, 'n_terms_dense': 766.0} (6s)
  [30/36] sgate/s2048 -> {'frac_det': 0.39689217032967034, 'frac_det_exact': 0.39689217032967034, 'frac_det_naive': 0.73681640625, 'det_sd': 0.11491142912379518, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 0.9753469010858913, 'null_pivot': 0.9678456892163213, 'n_terms_pivot': 6.25, 'coh_dense': 0.9445722356160096, 'null_dense': 0.8309868908828619, 'n_terms_dense': 1534.0} (17s)
  [31/36] random/s8 -> {'frac_det': 0.4958333333333333, 'frac_det_exact': 0.4958333333333333, 'frac_det_naive': 0.7899305555555556, 'det_sd': 0.10532687216470446, 'disagree': 0, 'n_draws': 32, 'pivots': 6.0, 'coh_pivot': 0.5936803847590544, 'null_pivot': 0.606753727352174, 'n_terms_pivot': 4.0, 'coh_dense': 0.5936803847590544, 'null_dense': 0.6106345482596336, 'n_terms_dense': 4.0} (2s)
  [32/36] random/s32 -> {'frac_det': 0.37723214285714285, 'frac_det_exact': 0.37723214285714285, 'frac_det_naive': 0.7275390625, 'det_sd': 0.05201419731129929, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 0.5321203632758523, 'null_pivot': 0.4998543914121802, 'n_terms_pivot': 5.90625, 'coh_dense': 0.3345009642378778, 'null_dense': 0.25865203162756695, 'n_terms_dense': 22.0} (5s)
  [33/36] random/s128 -> {'frac_det': 0.375, 'frac_det_exact': 0.375, 'frac_det_naive': 0.7265625, 'det_sd': 0.060556517706475604, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 0.5188354227781709, 'null_pivot': 0.5236395408724439, 'n_terms_pivot': 5.84375, 'coh_dense': 0.12983743501334763, 'null_dense': 0.12484061776245811, 'n_terms_dense': 94.0} (5s)
  [34/36] random/s512 -> {'frac_det': 0.3794642857142857, 'frac_det_exact': 0.3794642857142857, 'frac_det_naive': 0.728515625, 'det_sd': 0.06484749574256228, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 0.5048071918705725, 'null_pivot': 0.518395438455534, 'n_terms_pivot': 6.0, 'coh_dense': 0.05234401499955128, 'null_dense': 0.05825439008214635, 'n_terms_dense': 382.0} (5s)
  [35/36] random/s1024 -> {'frac_det': 0.36049107142857145, 'frac_det_exact': 0.36049107142857145, 'frac_det_naive': 0.72021484375, 'det_sd': 0.050790447557958716, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 0.5756539808570486, 'null_pivot': 0.5622802188438936, 'n_terms_pivot': 5.40625, 'coh_dense': 0.03418808916165966, 'null_dense': 0.042081757549146996, 'n_terms_dense': 766.0} (8s)
  [36/36] random/s2048 -> {'frac_det': 0.3526785714285714, 'frac_det_exact': 0.3526785714285714, 'frac_det_naive': 0.716796875, 'det_sd': 0.05629250095052898, 'disagree': 0, 'n_draws': 32, 'pivots': 8.0, 'coh_pivot': 0.5061329881678378, 'null_pivot': 0.5779876800243442, 'n_terms_pivot': 5.65625, 'coh_dense': 0.023669917334266828, 'null_dense': 0.030526122012792246, 'n_terms_dense': 1534.0} (14s)
[r2] bucket end: 36/36 done, 0 remaining
